Fiscal Year,Agency Name,Bureau Name,Account Name,Category,Version,Amount
1962,Legislative Branch,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,157.49074889867842
1962,Legislative Branch,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,14.229427312775316
1962,Legislative Branch,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,10.516651982378848
1962,Legislative Branch,"Total, General Government",Other interest,Discretionary,Actual,13.7631718061674
1962,Judicial Branch,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,6.164034021871199
1962,Judicial Branch,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,0.41555285540704384
1962,Judicial Branch,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,17.03766707168894
1962,Judicial Branch,"Total, Administration of Justice",General property and records management,Discretionary,Actual,13.95565006075334
1962,Judicial Branch,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,0.7618469015795841
1962,Judicial Branch,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,7.341433778857834
1962,Judicial Branch,"Total, Administration of Justice",Other general government,Discretionary,Actual,0.969623329283106
1962,Judicial Branch,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,10.354191980558925
1962,Department of Agriculture,"Total, Agriculture",Mortgage credit,Discretionary,Actual,2891.5342087076706
1962,Department of Agriculture,"Total, Agriculture",Postal service,Discretionary,Actual,3545.465791292329
1962,Department of Commerce,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,172.75770925110132
1962,Department of Commerce,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,15.608810572687208
1962,Department of Commerce,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,11.536123348017613
1962,Department of Commerce,"Total, General Government",Other interest,Discretionary,Actual,15.09735682819383
1962,Department of Defense--Military Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,25615.25053191489
1962,Department of Defense--Military Programs,"Total, National Defense",International security assistance,Discretionary,Actual,17396.69113475177
1962,Department of Defense--Military Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,2212.3473404255287
1962,Department of Defense--Military Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,1750.3310283687945
1962,Department of Defense--Military Programs,"Total, National Defense",International financial programs,Discretionary,Actual,3136.379964539007
1962,Department of Education,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,359.93984962406006
1962,Department of Education,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,395.3884711779448
1962,Department of Education,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,60.67167919799494
1962,Department of Energy,"Total, Energy",Water resources,Discretionary,Actual,1737.872860635697
1962,Department of Energy,"Total, Energy",Conservation and land management,Discretionary,Actual,506.54278728606334
1962,Department of Energy,"Total, Energy",Recreational resources,Discretionary,Actual,165.70415647921743
1962,Department of Energy,"Total, Energy",Pollution control and abatement,Discretionary,Actual,94.30317848410746
1962,Department of Energy,"Total, Energy",Other natural resources,Discretionary,Actual,250.5770171149143
1962,Department of Health and Human Services,"Total, Health",General retirement and disability insurance (excluding social security),Mandatory,Actual,253.57854114577663
1962,Department of Health and Human Services,"Total, Health",Federal employee retirement and disability,Mandatory,Actual,748.459506468094
1962,Department of Health and Human Services,"Total, Health",Unemployment compensation,Mandatory,Actual,1461.2415479943472
1962,Department of Health and Human Services,"Total, Health",Housing assistance,Mandatory,Actual,63.29872812262197
1962,Department of Health and Human Services,"Total, Health",Food and nutrition assistance,Mandatory,Actual,105.49788020436995
1962,Department of Health and Human Services,"Total, Health",Other income security,Mandatory,Actual,896.9237960647897
1962,Department of Homeland Security,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,61.20777642770349
1962,Department of Homeland Security,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,4.126366950182224
1962,Department of Homeland Security,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,169.1810449574726
1962,Department of Homeland Security,"Total, Administration of Justice",General property and records management,Discretionary,Actual,138.5771567436209
1962,Department of Homeland Security,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,7.565006075334116
1962,Department of Homeland Security,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,72.89914945321989
1962,Department of Homeland Security,"Total, Administration of Justice",Other general government,Discretionary,Actual,9.628189550425228
1962,Department of Homeland Security,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,102.81530984204126
1962,Department of Housing and Urban Development,"Total, Community and Regional Development","Elementary, secondary, and vocational education",Discretionary,Actual,320.81547139403705
1962,Department of Housing and Urban Development,"Total, Community and Regional Development",Higher education,Discretionary,Actual,218.31426269137788
1962,Department of Housing and Urban Development,"Total, Community and Regional Development",Research and general education aids,Discretionary,Actual,38.60435132957292
1962,Department of Housing and Urban Development,"Total, Community and Regional Development",Training and employment,Discretionary,Actual,125.7969379532635
1962,Department of Housing and Urban Development,"Total, Community and Regional Development",Other labor services,Discretionary,Actual,49.253827558420625
1962,Department of Housing and Urban Development,"Total, Community and Regional Development",Social services,Discretionary,Actual,73.21514907332795
1962,Department of the Interior,"Total, Natural Resources and Environment",Farm income stabilization,Discretionary,Actual,548.1560920830995
1962,Department of the Interior,"Total, Natural Resources and Environment",Agricultural research and services,Discretionary,Actual,57.84390791690059
1962,Department of Justice,"Total, Administration of Justice",Legislative functions,Discretionary,Actual,25.52126366950181
1962,Department of Justice,"Total, Administration of Justice",Executive direction and management,Discretionary,Actual,1.7205346294046024
1962,Department of Justice,"Total, Administration of Justice",Central fiscal operations,Discretionary,Actual,70.54191980558929
1962,Department of Justice,"Total, Administration of Justice",General property and records management,Discretionary,Actual,57.78128797083839
1962,Department of Justice,"Total, Administration of Justice",Central personnel management,Discretionary,Actual,3.1543134872417866
1962,Department of Justice,"Total, Administration of Justice",General purpose fiscal assistance,Discretionary,Actual,30.39611178614822
1962,Department of Justice,"Total, Administration of Justice",Other general government,Discretionary,Actual,4.014580801944088
1962,Department of Justice,"Total, Administration of Justice",Deductions for offsetting receipts,Discretionary,Actual,42.86998784933169
1962,Department of Labor,"Total, Education, Training, Employment, and Social Services",Health care services,Discretionary,Actual,1726.4761904761901
1962,Department of Labor,"Total, Education, Training, Employment, and Social Services",Health research and training,Discretionary,Actual,1896.5079365079362
1962,Department of Labor,"Total, Education, Training, Employment, and Social Services",Consumer and occupational health and safety,Discretionary,Actual,291.0158730158728
1962,Department of State,"Total, International Affairs",General science and basic research,Discretionary,Actual,131.82182240278584
1962,Department of State,"Total, International Affairs","Space flight, research, and supporting activities",Discretionary,Actual,325.17817759721413
1962,Department of Transportation,"Total, Transportation",Community development,Discretionary,Actual,2190.5213675213677
1962,Department of Transportation,"Total, Transportation",Area and regional development,Discretionary,Actual,1474.0726495726492
1962,Department of Transportation,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,189.40598290598274
1962,Department of the Treasury,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,6809.064317180617
1962,Department of the Treasury,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,615.2049339207042
1962,Department of the Treasury,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,454.6842290748896
1962,Department of the Treasury,"Total, General Government",Other interest,Discretionary,Actual,595.0465198237885
1962,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal law enforcement activities,Mandatory,Actual,3516.438228438228
1962,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal litigative and judicial activities,Mandatory,Actual,1451.0209790209788
1962,Department of Veterans Affairs,"Total, Veterans Benefits and Services",Federal correctional activities,Mandatory,Actual,640.5407925407924
1962,Corps of Engineers--Civil Works,"Total, Transportation",Community development,Discretionary,Actual,536.5470085470085
1962,Corps of Engineers--Civil Works,"Total, Transportation",Area and regional development,Discretionary,Actual,361.059829059829
1962,Corps of Engineers--Civil Works,"Total, Transportation",Disaster relief and insurance,Discretionary,Actual,46.393162393162356
1962,Other Defense--Civil Programs,"Total, National Defense",International development and humanitarian assistance,Discretionary,Actual,488.6787234042553
1962,Other Defense--Civil Programs,"Total, National Defense",International security assistance,Discretionary,Actual,331.8879432624113
1962,Other Defense--Civil Programs,"Total, National Defense",Conduct of foreign affairs,Discretionary,Actual,42.20638297872334
1962,Other Defense--Civil Programs,"Total, National Defense",Foreign information and exchange activities,Discretionary,Actual,33.39219858156029
1962,Other Defense--Civil Programs,"Total, National Defense",International financial programs,Discretionary,Actual,59.83475177304964
1962,Environmental Protection Agency,"Total, Natural Resources and Environment",Farm income stabilization,Discretionary,Actual,63.31836047164514
1962,Environmental Protection Agency,"Total, Natural Resources and Environment",Agricultural research and services,Discretionary,Actual,6.681639528354854
1962,Executive Office of the President,"Total, General Government",Interest on Treasury debt securities (gross),Discretionary,Actual,9.642290748898677
1962,Executive Office of the President,"Total, General Government",Interest received by on-budget trust funds,Discretionary,Actual,0.8711894273127745
1962,Executive Office of the President,"Total, General Government",Interest received by off-budget trust funds,Discretionary,Actual,0.6438766519823784
